N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
01-2011-0123,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,1,,HUTB-003654,3,2.1809031299999999,41.381038820000001
01-2011-0137,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,1,2,HUTB-001678,3,2.1719852300000002,41.380378749999998
01-2011-0152,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,2,,HUTB-003650,3,2.1809031299999999,41.381038820000001
01-2011-0157,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Plaça,OLLES,1,9,B,,,,,,1,2,HUTB-002534,9,2.1822042399999999,41.381839720000002
01-2011-0160,1,CIUTAT VELLA,1,el Raval,Carrer,JOVELLANOS,1,1,,,,,,,PR,2,HUTB-000935,6,2.16680984,41.383174449999999
01-2011-0170,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,2,2,HUTB-001679,3,2.1719852300000002,41.380378749999998
01-2011-0171,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,3,2,HUTB-001681,3,2.1719852300000002,41.380378749999998
01-2011-0172,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,4,2,HUTB-001685,3,2.1719852300000002,41.380378749999998
01-2011-0173,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,5,2,HUTB-001686,3,2.1719852300000002,41.380378749999998
01-2011-0192,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,MERCADERS,1,5,,,,,,,5,,HUTB-013223,4,2.1777333200000002,41.382977529999998
01-2011-0193,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,1,1,HUTB-002459,5,2.1725783999999999,41.376596999999997
01-2011-0194,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,1,2,HUTB-002460,6,2.1725783999999999,41.376596999999997
01-2011-0195,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,2,1,HUTB-002461,5,2.1725783999999999,41.376596999999997
01-2011-0196,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,2,2,HUTB-002462,6,2.1725783999999999,41.376596999999997
01-2011-0197,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,3,1,HUTB-002463,5,2.1725783999999999,41.376596999999997
01-2011-0198,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,3,2,HUTB-002464,6,2.1725783999999999,41.376596999999997
01-2011-0199,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,4,1,HUTB-002465,5,2.1725783999999999,41.376596999999997
01-2011-0200,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,4,2,HUTB-002466,6,2.1725783999999999,41.376596999999997
01-2011-0201,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,5,1,HUTB-002467,5,2.1725783999999999,41.376596999999997
01-2011-0202,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,5,2,HUTB-002468,6,2.1725783999999999,41.376596999999997
01-2011-0254,1,CIUTAT VELLA,3,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,BJ,,HUTB-002228,6,2.1876462299999999,41.376951009999999
01-2011-0255,1,CIUTAT VELLA,3,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,1,,HUTB-002237,6,2.1876462299999999,41.376951009999999
01-2011-0256,1,CIUTAT VELLA,3,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,2,,HUTB-002226,6,2.1876462299999999,41.376951009999999
01-2011-0257,1,CIUTAT VELLA,3,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,3,,HUTB-002227,6,2.1876462299999999,41.376951009999999
01-2011-0409,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,AVINYO,2,58,,,,,,,PR,3B,HUTB-013215,10,2.1781870699999999,41.378340520000002
01-2011-0546,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,AT,,HUTB-000909,5,2.1636106399999999,41.381626509999997
01-2011-0547,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,3,,HUTB-000911,8,2.1636106399999999,41.381626509999997
01-2012-0158,1,CIUTAT VELLA,2,el Barri Gòtic,Passatge,RELLOTGE,2,2,,,,,,,EN,1,HUTB-001632,11,2.1760967899999999,41.378219110000003
01-2012-0164,1,CIUTAT VELLA,1,el Raval,Carrer,HOSPITAL,1,133,,,,,,,PR,2,HUTB-000727,12,2.1663785899999999,41.377711589999997
01-2012-0166,1,CIUTAT VELLA,1,el Raval,Carrer,SALVADOR,1,7,B,,,,,,1,3,HUTB-002124,2,2.1635926900000002,41.376740210000001
01-2012-0167,1,CIUTAT VELLA,1,el Raval,Carrer,SALVADOR,1,7,B,,,,,,1,4,HUTB-002125,3,2.1635926900000002,41.376740210000001
01-2012-0185,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,1,1,HUTB-013111,3,2.1733986299999999,41.378806249999997
01-2012-0186,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,1,2,HUTB-013112,4,2.1733986299999999,41.378806249999997
01-2012-0187,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,1,3,HUTB-013113,5,2.1733986299999999,41.378806249999997
01-2012-0188,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,2,1,HUTB-013114,6,2.1733986299999999,41.378806249999997
01-2012-0189,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,2,2,HUTB-013115,4,2.1733986299999999,41.378806249999997
01-2012-0190,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,2,3,HUTB-013116,5,2.1733986299999999,41.378806249999997
01-2012-0191,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,3,1,HUTB-013117,6,2.1733986299999999,41.378806249999997
01-2012-0192,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,3,2,HUTB-014595,4,2.1733986299999999,41.378806249999997
01-2012-0193,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FERRAN,1,7,,,,,,,3,3,HUTB-013119,5,2.1733986299999999,41.378806249999997
01-2012-0203,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,PORTAL NOU,1,35,,,,,,,3,2,HUTB-002786,3,2.1796509400000001,41.38723495
01-2012-0209,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,EN,2,HUTB-003352,5,2.1729352,41.385092129999997
01-2012-0210,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,PR,1,HUTB-003353,2,2.1729352,41.385092129999997
01-2012-0211,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,PR,2,HUTB-003354,5,2.1729352,41.385092129999997
01-2012-0212,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,1,1,HUTB-003348,2,2.1729352,41.385092129999997
01-2012-0213,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,2,1,HUTB-003349,2,2.1729352,41.385092129999997
01-2012-0214,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,2,2,HUTB-003350,2,2.1729352,41.385092129999997
01-2012-0317,1,CIUTAT VELLA,2,el Barri Gòtic,Passeig,COLOM,2,2,,,,,,,4,B,HUTB-003340,4,2.1802920000000001,41.379068459999999
01-2012-0440,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,VIDRE,1,7,,,,,,,1,1,HUTB-001506,9,2.1751333900000001,41.377936470000002
01-2012-0441,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,2,,HUTB-013139,4,2.1711030600000001,41.377308329999998
01-2012-0442,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,1,,HUTB-013138,4,2.1711030600000001,41.377308329999998
01-2012-0443,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,PR,,HUTB-013137,4,2.1711030600000001,41.377308329999998
01-2012-0446,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,VOLTA D'EN COLOMINES,1,3,,,,,,,1,,HUTB-013147,4,2.17804032,41.382721580000002
01-2012-0450,1,CIUTAT VELLA,1,el Raval,Carrer,TIGRE,2,4,,,,,,,2,1,HUTB-001174,6,2.1638609799999999,41.381032249999997
01-2012-0464,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,ESQUIROL,2,4,,,,,,,2,2,HUTB-000139,3,2.17862343,41.382505479999999
01-2012-0465,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,6,,,,,,,1,1,HUTB-002445,7,2.1732196199999998,41.377387050000003
01-2012-0468,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,FLOR,1,5,,,,,,,2,2,HUTB-000191,7,2.1716634500000001,41.38330431
01-2012-0469,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CONSOLAT DE MAR,1,15,,,,,,,1,2,HUTB-003501,7,2.1807958300000001,41.380298920000001
01-2012-0486,1,CIUTAT VELLA,2,el Barri Gòtic,Plaça,REIAL,2,8,,,,,,,3,3,HUTB-001628,7,2.1741733000000001,41.378620869999999
01-2012-0492,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,ESPASERIA,1,7,,,,,,,1,,HUTB-012817,2,2.1812374299999999,41.381478319999999
01-2012-0513,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,MONTANYANS,2,6,,8,,,,,4,1,HUTB-002370,3,2.1790219799999999,41.385535349999998
01-2012-0514,1,CIUTAT VELLA,1,el Raval,Plaça,EMILI VENDRELL,1,1,,,,,,,3,1,HUTB-003091,2,2.1657501400000001,41.379398369999997
01-2012-0516,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,1,31,,,,,,,4,2,HUTB-002481,4,2.17202794,41.376069540000003
01-2012-0522,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,BOT,1,11,,,,,,,3,2,HUTB-004062,3,2.1710419000000001,41.382101939999998
01-2012-0523,1,CIUTAT VELLA,3,la Barceloneta,Carrer,PESCADORS,1,85,,,,,,,3,2,HUTB-002716,3,2.1888717600000001,41.37433223
01-2012-0524,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,TRAFALGAR,2,70,,,,,,,4,C,HUTB-001218,9,2.1777498999999998,41.388716340000002
01-2012-0537,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,3,,HUTB-013140,4,2.1711030600000001,41.377308329999998
01-2012-0538,1,CIUTAT VELLA,1,el Raval,Carrer,SANT PAU,1,29,,,,,,,4,,HUTB-013141,4,2.1711030600000001,41.377308329999998
